file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126C_S119.non.host.R1.fastq.gz	FASTQ	DNA	29084713	4337739212	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126D_S120.non.host.R1.fastq.gz	FASTQ	DNA	30943775	4614939021	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126E_S121.non.host.R1.fastq.gz	FASTQ	DNA	28408700	4234608417	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126F_S122.non.host.R1.fastq.gz	FASTQ	DNA	25285715	3770217438	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-126G_S123.non.host.R1.fastq.gz	FASTQ	DNA	30585197	4563535233	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128A_S124.non.host.R1.fastq.gz	FASTQ	DNA	35682908	5321334150	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128B_S125.non.host.R1.fastq.gz	FASTQ	DNA	31043856	4630465551	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128C_S126.non.host.R1.fastq.gz	FASTQ	DNA	31366534	4677131760	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128D_S127.non.host.R1.fastq.gz	FASTQ	DNA	30511466	4551356974	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128E_S128.non.host.R1.fastq.gz	FASTQ	DNA	31115912	4641108078	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128F_S129.non.host.R1.fastq.gz	FASTQ	DNA	31574787	4709262804	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-128G_S130.non.host.R1.fastq.gz	FASTQ	DNA	22521641	3356224708	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129A_S131.non.host.R1.fastq.gz	FASTQ	DNA	30763200	4585084104	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129B_S132.non.host.R1.fastq.gz	FASTQ	DNA	35087336	5232417229	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129C_S133.non.host.R1.fastq.gz	FASTQ	DNA	26988960	4020413501	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129D_S134.non.host.R1.fastq.gz	FASTQ	DNA	27379738	4080757358	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129E_S135.non.host.R1.fastq.gz	FASTQ	DNA	29129781	4342402591	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129F_S136.non.host.R1.fastq.gz	FASTQ	DNA	32422493	4830939629	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-129G_S137.non.host.R1.fastq.gz	FASTQ	DNA	30474685	4540548013	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130A_S138.non.host.R1.fastq.gz	FASTQ	DNA	24726945	3684381446	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130B_S139.non.host.R1.fastq.gz	FASTQ	DNA	30952347	4611737484	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130C_S140.non.host.R1.fastq.gz	FASTQ	DNA	28982754	4320464837	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130D_S141.non.host.R1.fastq.gz	FASTQ	DNA	26699446	3981131974	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130E_S142.non.host.R1.fastq.gz	FASTQ	DNA	24156539	3602309822	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130F_S143.non.host.R1.fastq.gz	FASTQ	DNA	27024259	4028875318	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-130G_S144.non.host.R1.fastq.gz	FASTQ	DNA	22067850	3292307919	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132A_S145.non.host.R1.fastq.gz	FASTQ	DNA	26048408	3881136932	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132B_S146.non.host.R1.fastq.gz	FASTQ	DNA	26824553	3999771373	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132C_S147.non.host.R1.fastq.gz	FASTQ	DNA	27614626	4116265155	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132D_S148.non.host.R1.fastq.gz	FASTQ	DNA	23634991	3523738168	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132E_S149.non.host.R1.fastq.gz	FASTQ	DNA	20809479	3102390702	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132F_S150.non.host.R1.fastq.gz	FASTQ	DNA	25047562	3732634213	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-132G_S151.non.host.R1.fastq.gz	FASTQ	DNA	20613479	3071629003	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133A_S152.non.host.R1.fastq.gz	FASTQ	DNA	26139241	3895757123	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133B_S153.non.host.R1.fastq.gz	FASTQ	DNA	28700327	4278096019	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133C_S154.non.host.R1.fastq.gz	FASTQ	DNA	32746640	4881151086	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133D_S155.non.host.R1.fastq.gz	FASTQ	DNA	26071968	3885882190	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133E_S156.non.host.R1.fastq.gz	FASTQ	DNA	21248568	3166867387	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133F_S157.non.host.R1.fastq.gz	FASTQ	DNA	24748259	3689373172	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-133G_S158.non.host.R1.fastq.gz	FASTQ	DNA	20736369	3089579596	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-135A_S159.non.host.R1.fastq.gz	FASTQ	DNA	26928891	4010646475	36	148.9	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-135B_S160.non.host.R1.fastq.gz	FASTQ	DNA	24657154	3674960498	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTF-TE-135C_S161.non.host.R1.fastq.gz	FASTQ	DNA	30423613	4536555942	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG10_S199.non.host.R1.fastq.gz	FASTQ	DNA	57939760	8640830276	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG11_S203.non.host.R1.fastq.gz	FASTQ	DNA	53084818	7924508075	36	149.3	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG12_S208.non.host.R1.fastq.gz	FASTQ	DNA	43900678	6542367539	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG13_S212.non.host.R1.fastq.gz	FASTQ	DNA	52437256	7824531640	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG14_S216.non.host.R1.fastq.gz	FASTQ	DNA	39390182	5872180331	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG15_S220.non.host.R1.fastq.gz	FASTQ	DNA	42883954	6394612940	36	149.1	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG16_S224.non.host.R1.fastq.gz	FASTQ	DNA	37051957	5527185295	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG1_S163.non.host.R1.fastq.gz	FASTQ	DNA	50488489	7531653740	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG2_S167.non.host.R1.fastq.gz	FASTQ	DNA	49659344	7401305358	36	149.0	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG3_S171.non.host.R1.fastq.gz	FASTQ	DNA	59331075	8850017261	36	149.2	151
HFT_pipeline_result/HostRemoval/NonHostFastq/HFTR-TE-CG4_S175.non.host.R1.fastq.gz	FASTQ	DNA	37925441	5649757336	36	149.0	151
